,site_name,site_city,site_county,site_zip,site_setting,number_sessions,num_volunteers,total_volunteer_hours,participants_total,participants_gender_male,participants_gender_female,participants_gender_non_binary,participants_gender_prefer_not_to_respond,participants_age_youth,participants_age_lt5,participants_age_5to7,participants_age_8to10,participants_age_11to13,participants_age_14to17,participants_age_18to29,participants_age_30to59,participants_age_60to75,participants_age_76plus,participants_age_adult,participants_ethnicity_hispanic,participants_ethnicity_non_hispanic,participants_ethnicity_prefer_not_to_respond,participants_ethnicity_unknown,participants_amerind_onerace_total,participants_amerind_multirace_total,participants_asian_onerace_total,participants_asian_multirace_total,participants_black_onerace_total,participants_black_multirace_total,participants_hawpac_onerace_total,participants_hawpac_multirace_total,,participants_white_multirace_total,participants_race_amerind,participants_race_asian,participants_race_black,participants_race_hawpac,participants_race_white,participants_race_two_or_more,participants_race_prefer_not_to_respond,participants_race_unknown
1874,Virginia Tech Reynolds Homestead,Stuart,Patrick,24082,"Other places people go to ""learn""",2,7,24,38,30,0,NA,NA,2,NA,0,0,0,0,NA,NA,NA,NA,28,0,25,NA,13,0,NA,0,NA,3,NA,0,NA,27,NA,0,0,3,0,27,0,0,8
1875,VCE Augusta,Verona,Augusta,24482,,1,1,3,5,2,3,NA,NA,5,NA,0,0,0,0,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,1,NA,NA
1876,Powhatan State Park,Richmond,Richmond,23139,Parks and open spaces,1,12,48,24,7,17,NA,NA,8,NA,0,0,0,0,8,7,1,NA,16,2,20,NA,2,NA,NA,1,NA,4,NA,NA,NA,17,NA,NA,1,4,NA,17,NA,NA,2
1877,Cumberland Elementary School,Cumberland,Cumberland,23040,"Schools (K-12, elementary, middle, and high)",1,2,6,83,38,45,NA,NA,83,NA,0,0,0,0,NA,NA,NA,NA,0,2,81,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,57,NA,NA,NA,26,NA,57,NA,NA,NA
1878,Eldon Farm,Woodville,Rappahannock,22749,,1,9,2,11,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
1879,Cumberland Middle School,Cumberland,Cumberland,23040,,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,VCE Augusta,Verona,Augusta,24482,,1,NA,NA,10,3,6,NA,1,10,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,2
1881,Amherst County Sheriff's Department,Amherst,Amherst,24521,,8,9,60,57,22,35,NA,NA,51,NA,0,0,0,0,6,NA,NA,NA,6,54,NA,NA,3,4,NA,NA,NA,4,NA,NA,NA,43,NA,4,NA,4,NA,43,3,NA,3
1882,Salem High School,Salem,Salem,24153,,1,NA,NA,37,18,19,NA,NA,35,NA,0,0,0,0,NA,2,NA,NA,2,4,33,NA,NA,NA,NA,1,NA,6,NA,NA,NA,28,NA,NA,1,6,NA,28,2,NA,NA
1883,William Perry Elementary School,Waynesboro,Waynesboro,22980,Before and after-school programs,3,4,NA,84,42,42,NA,NA,84,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,84,NA,0,NA,NA,NA,NA,30,NA,NA,NA,24,NA,NA,NA,30,NA,24,NA,NA,30
1884,Berglund Center,Roanoke,Roanoke,24016,,1,NA,NA,8,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1885,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,20,2,18,NA,NA,NA,NA,0,0,0,0,NA,20,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,19,NA,NA,NA,1,NA,19,NA,NA,NA
1886,Bessie Weller Elementary School,Staunton,Staunton,24401,,2,4,NA,58,30,28,NA,NA,58,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,58,NA,NA,2,NA,8,NA,NA,NA,30,NA,NA,2,8,NA,30,NA,NA,18
1887,Amherst Middle School,Amherst,Amherst,24521,,1,1,2,3,NA,3,NA,NA,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA
1888,Monelison Middle School,Madison Heights,Amherst,24572,"Schools (K-12, elementary, middle, and high)",1,1,2,13,1,12,NA,NA,13,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,7,NA,NA,NA,6,NA,7,NA,NA,NA
1889,Crestwood Intermediate School,Chesapeake,Chesapeake,233205571,"Schools (K-12, elementary, middle, and high)",1,NA,NA,75,NA,NA,NA,NA,50,NA,0,0,0,0,NA,NA,NA,NA,25,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
1890,Great Bridge Methodist Church,Chesapeake,Chesapeake,23322,,1,10,30,18,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,18,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1891,,,,,,1,NA,NA,29,5,22,2,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,29,3,23,NA,3,NA,NA,NA,NA,2,NA,NA,NA,23,NA,NA,NA,2,NA,23,2,NA,2
1892,Oaklette United Methodist Church,Chesapeake,Chesapeake,23325,"Other places people go to ""learn""",1,10,30,18,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,18,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1893,VSU Randolph Farm,Petersburg,Petersburg,23803,Schools (colleges and universities),1,5,3,54,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
1894,South Norfolk Library,Chesapeake,Chesapeake,23324,Libraries,1,NA,NA,12,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1895,Southern Piedmont Agricultural Research and Extension Center,Blackstone,Nottoway,24523,,1,NA,NA,50,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
1896,Oaklette United Methodist Church,Chesapeake,Chesapeake,23325,"Other places people go to ""learn""",1,10,30,18,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,18,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1897,New Hanover County Arboretum,Wilmington,New Hanover,28403,Parks and open spaces,1,NA,NA,30,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,30,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
1898,Zoom,Pennington Gap,Lee,24277,,1,NA,NA,16,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,16,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
1899,Halifax Virginia Cooperative Extension Office,Halifax,Halifax,24558,Extension offices,1,NA,NA,17,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
1900,Chesapeake City Jail,Chesapeake,Chesapeake,23322,"Other places people go to ""learn""",1,NA,NA,5,NA,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1901,Halifax Virginia Cooperative Extension Office,Halifax,Halifax,24558,Extension offices,1,NA,NA,42,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
1902,Chesapeake City Jail,Chesapeake,Chesapeake,23322,"Other places people go to ""learn""",1,NA,NA,5,NA,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1903,Chesapeake City Jail,Chesapeake,Chesapeake,23322,"Other places people go to ""learn""",1,NA,NA,5,NA,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1904,Halifax Virginia Cooperative Extension Office,Halifax,Halifax,24558,Extension offices,1,NA,NA,21,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1905,Chesapeake City Jail,Chesapeake,Chesapeake,23322,"Other places people go to ""learn""",1,NA,NA,5,NA,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1906,Chesapeake City Jail,Chesapeake,Chesapeake,23322,"Other places people go to ""learn""",1,NA,NA,5,NA,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1907,Charlotte County Extension Office,Drakes Branch,Charlotte,23923,Extension offices,1,2,3,6,6,NA,NA,NA,NA,NA,0,0,0,0,NA,6,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,5,NA,NA,NA
1908,Chesapeake Arboretum,Chesapeake,Chesapeake,23320,Parks and open spaces,1,NA,NA,20,NA,NA,NA,NA,2,NA,0,0,0,0,NA,NA,NA,NA,18,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
1909,Norfolk Botanical Garden,Norfolk,Norfolk,23518,,1,NA,NA,12,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1910,Halifax County Agricultural Marketing Center,Scottsburg,Halifax,24589,,1,3,2,24,NA,NA,NA,NA,NA,NA,0,0,0,0,3,12,9,NA,24,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
1911,Halifax County Agricultural Marketing Center,Scottsburg,Halifax,24589,,1,NA,NA,52,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
1912,Southside Elementary  School,Petersburg,Petersburg,23841,"Food assistance sites, food banks, and food pantries",1,NA,NA,60,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,60
1913,Accawmacke Elementary,Accomac,Accomack,23301,"Schools (K-12, elementary, middle, and high)",1,NA,NA,200,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200
1914,Kentuck Elementary School,Ringgold,Pittsylvania,24586,"Schools (K-12, elementary, middle, and high)",1,1,1,20,11,9,NA,NA,20,NA,0,0,0,0,NA,NA,NA,NA,NA,1,19,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,13,NA,NA,NA,5,NA,13,2,NA,NA
1915,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0,NA,NA
1916,Petersburg High School,Petersburg,Petersburg,23805,,1,1,1.5,14,2,12,NA,NA,14,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1917,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
1918,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,0,0,NA,NA
1919,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0,NA,NA
1920,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0,NA,NA
1921,Nottoway county Community Services building,Crewe,Nottoway,23955,Community and recreation centers,1,3,2,12,3,9,NA,NA,9,NA,0,0,0,0,NA,3,NA,NA,3,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,11,1,NA,NA
1922,Nottoway county Community Services building,Crewe,Nottoway,23955,Community and recreation centers,1,3,2,12,3,9,NA,NA,9,NA,0,0,0,0,NA,3,NA,NA,3,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,11,1,NA,NA
1923,York County Head Start,Williamsburg,Williamsburg,23185,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,York County Head Start,Williamsburg,Williamsburg,23185,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,York County Head Start,Williamsburg,Williamsburg,23185,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,York County Head Start,Williamsburg,Williamsburg,23185,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,Nottoway county Community Services building,Crewe,Nottoway,23955,Community and recreation centers,1,3,2,12,3,9,NA,NA,9,NA,0,0,0,0,NA,3,NA,NA,3,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,11,1,NA,NA
1928,York County Head Start,Williamsburg,Williamsburg,23185,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,,,,,,1,NA,NA,7,3,4,NA,NA,NA,NA,0,0,0,0,NA,7,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA
1930,Scott County Head Start - Weber City,Weber City,Scott,24290,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,NA,NA,9,1,8,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,9,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,1
1931,Suffolk Extension Office,Suffolk,Suffolk,23434,Extension offices,1,3,1.5,8,1,7,NA,NA,5,NA,0,0,0,0,NA,3,NA,NA,3,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,NA
1932,Buckingham County Preschool,Buckingham,Buckingham,23921,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,Albemarle/Charlottesville Extension Office,Charlottesville,Charlottesville,22902,,3,4,4.5,24,10,14,NA,NA,19,NA,0,0,0,0,NA,4,1,NA,5,NA,23,1,NA,NA,NA,NA,NA,NA,1,NA,NA,22,1,NA,NA,1,NA,23,1,1,NA
1934,Buckingham County Preschool,Buckingham,Buckingham,23921,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,Community Heights Church,Tazewell,Tazewell,24609,,1,NA,NA,16,NA,NA,NA,NA,15,NA,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
1936,PC Stock Farm,Scottsville,Albemarle,24590,,1,10,2,25,14,7,NA,NA,15,1,0,0,0,0,NA,8,NA,NA,8,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,25,NA,NA,NA
1937,Middlesex Public Library - Urbanna Branch,Urbanna,Middlesex,23175,,1,0,0,13,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1938,Virginia State Capitol,Richmond,Richmond,23219,,1,12,8,34,11,23,NA,NA,21,NA,0,0,0,0,1,12,NA,NA,13,NA,32,NA,2,NA,NA,1,NA,1,NA,NA,NA,30,NA,NA,1,1,NA,30,NA,NA,2
1939,Nicks Spaghetti and Steak House,Saluda,Middlesex,23149,,1,0,0,15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1940,Albemarle/Charlottesville Extension Office,Charlottesville,Charlottesville,22902,,4,NA,NA,21,3,18,NA,NA,NA,NA,0,0,0,0,1,17,1,NA,19,NA,21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,20,NA,NA,1,NA,NA,20,NA,NA,NA
1941,Graham Intermediate School,Tazewell,Tazewell,24651,,4,NA,NA,187,93,71,NA,NA,183,NA,0,0,0,0,NA,NA,NA,NA,4,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187
1942,Fauquier Extension Office,Warrenton,Fauquier,20186,,9,NA,NA,8,0,8,NA,NA,8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,NA
1943,Virginia State Capitol,Richmond,Richmond,23219,,2,NA,NA,5,1,4,NA,NA,5,NA,0,0,0,0,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,1,NA,NA
1944,VCE Augusta,Verona,Augusta,24482,,8,2,24,11,3,8,NA,NA,9,NA,0,0,0,0,NA,NA,NA,NA,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,11,NA,NA,NA
1945,Tazewell Middle School,Tazewell,Tazewell,24651,"Schools (K-12, elementary, middle, and high)",1,NA,NA,300,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300
1946,Richlands Elementary School,Richlands,Tazewell,24641,"Schools (K-12, elementary, middle, and high)",3,NA,NA,177,93,84,NA,NA,177,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177
1947,Virginia Livestock LLC,Front Royal,Warren,22630,,1,NA,NA,4,NA,4,NA,NA,4,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA
1948,Cedar Bluff Elementary School,Cedar Bluff,Tazewell,24609,"Schools (K-12, elementary, middle, and high)",3,NA,NA,96,51,45,NA,NA,96,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
1949,Wenonah Elementary School,Waynesboro,Waynesboro,22980,"Schools (K-12, elementary, middle, and high)",3,3,6,33,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1950,"Delta Hotels, Richmond",Richmond,Richmond,23219,,3,5,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,Journey Middle School,Charlottesville,Charlottesville,22902,,1,25,7,59,19,30,NA,NA,34,NA,0,0,0,0,NA,8,3,1,12,NA,54,NA,5,NA,NA,1,NA,NA,NA,NA,NA,48,NA,NA,1,NA,NA,48,NA,NA,10
1952,Southwest Virginia Farmers Market,Hillsville,Carroll,24343,,1,NA,NA,14,3,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3,NA,3,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,11
1953,Fauquier Extension Office,Warrenton,Fauquier,20186,,4,NA,NA,75,25,50,NA,NA,75,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
1954,Virginia Tech Alphin Stuart Livestock Arena,Blacksburg,Montgomery,24061,,1,NA,NA,100,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1955,Fauquier Extension Office,Warrenton,Fauquier,20186,,5,2,12.5,14,5,9,NA,NA,10,NA,0,0,0,0,NA,NA,NA,NA,4,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,14,NA,NA,NA
1956,Fauquier High School,Warrenton,Fauquier,20186,"Schools (K-12, elementary, middle, and high)",2,NA,NA,14,6,8,NA,NA,14,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,NA,NA,14,NA,NA,NA
1957,Fauquier Fairgrounds,Warrenton,Fauquier,20186,,1,20,80,85,NA,NA,NA,NA,65,NA,0,0,0,0,NA,NA,NA,NA,20,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
1958,,,,,,1,NA,NA,8,NA,8,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,8,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1959,Albemarle/Charlottesville Extension Office,Charlottesville,Charlottesville,22902,,1,1,1,5,1,4,NA,NA,4,NA,0,0,0,0,NA,1,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA
1960,Fauquier County Schools,Warrenton,Fauquier,20186,,24,62,86,1047,503,544,0,0,1007,NA,0,0,0,0,NA,NA,NA,NA,40,201,846,0,0,10,NA,20,NA,67,NA,3,NA,907,NA,10,20,67,3,907,40,0,0
1961,Fauquier Fairgrounds,Warrenton,Fauquier,20186,,1,20,40,85,NA,NA,NA,NA,65,NA,0,0,0,0,NA,NA,NA,NA,20,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
1962,Virginia Cooperative Extension Tazewell County Office,Tazewell,Tazewell,24651,,3,NA,NA,23,11,12,NA,NA,16,NA,0,0,0,0,NA,NA,NA,NA,7,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
1963,Fauquier Extension Office,Warrenton,Fauquier,20186,,1,4,16,25,NA,NA,NA,NA,12,NA,0,0,0,0,NA,NA,NA,NA,13,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1964,Camp Albemarle,Charlottesville,Charlottesville,22901,,1,4,2,23,7,16,NA,NA,17,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,22,NA,NA,1
1965,Virginia Cooperative Extension Tazewell County Office,Tazewell,Tazewell,24651,,13,NA,NA,6,NA,NA,NA,NA,3,NA,0,0,0,0,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
